id;start_date;end_date;language
1;2019-08-09T03:26:57;2019-08-08T20:35:14;ENGLISH
2;2019-08-09T04:57:03;2019-08-08T14:03:13;FRENCH
3;2019-08-09T00:29:07;2019-08-08T15:53:07;SPANISH
4;2019-08-08T13:40:58;2019-08-08T21:08:00;FRENCH
5;2019-08-08T22:39:37;2019-08-09T03:23:46;SPANISH
6;2019-08-09T04:56:38;2019-08-09T06:13:34;ENGLISH
7;2019-08-08T14:18:58;2019-08-09T02:59:45;ENGLISH
8;2019-08-08T11:50:17;2019-08-08T19:50:26;SPANISH
9;2019-08-08T21:38:23;2019-08-09T06:03:01;SPANISH
10;2019-08-09T00:56:32;2019-08-08T22:12:47;FRENCH
